item,desc_item,localizacion,categoria,fecha,documento,registro,cp,entradas,salidas,unitario,total,cantidad,cost_center,lote
P000001,Producto Performance 1,ALM-1,GRUPO-1,2026-03-02,SA-DOC000000001,1,CP,0.0,46.078,6120.88,-282037.91,-46.078,CC-1,LOT-001
P000002,Producto Performance 2,ALM-2,GRUPO-2,2026-03-03,EA-DOC000000002,2,CP,50.245,0.0,1881.56,94538.98,50.245,CC-2,LOT-002
P000003,Producto Performance 3,ALM-3,GRUPO-3,2026-03-04,EA-DOC000000003,3,CP,26.091,0.0,4018.49,104846.42,26.091,CC-3,LOT-003
P000004,Producto Performance 4,ALM-4,GRUPO-4,2026-03-05,SA-DOC000000004,4,CP,0.0,21.47,12157.14,-261013.8,-21.47,CC-4,LOT-004
P000005,Producto Performance 5,ALM-5,GRUPO-5,2026-03-06,EA-DOC000000005,5,CP,25.412,0.0,14514.27,368836.63,25.412,CC-1,LOT-005
P000006,Producto Performance 6,ALM-1,GRUPO-6,2026-03-07,EA-DOC000000006,6,CP,29.116,0.0,12741.94,370994.33,29.116,CC-2,LOT-006
P000007,Producto Performance 7,ALM-2,GRUPO-7,2026-03-08,SA-DOC000000007,7,CP,0.0,25.794,8310.49,-214360.78,-25.794,CC-3,LOT-007
P000008,Producto Performance 8,ALM-3,GRUPO-8,2026-03-09,EA-DOC000000008,8,CP,6.84,0.0,2636.6,18034.34,6.84,CC-4,LOT-008
P000009,Producto Performance 9,ALM-4,GRUPO-1,2026-03-10,EA-DOC000000009,9,CP,49.715,0.0,13367.18,664549.35,49.715,CC-1,LOT-009
P000010,Producto Performance 10,ALM-5,GRUPO-2,2026-03-11,SA-DOC000000010,10,CP,0.0,0.54,4201.18,-2268.64,-0.54,CC-2,LOT-010
P000011,Producto Performance 11,ALM-1,GRUPO-3,2026-03-12,EA-DOC000000011,11,CP,42.594,0.0,4879.39,207832.74,42.594,CC-3,LOT-011
P000012,Producto Performance 12,ALM-2,GRUPO-4,2026-03-13,EA-DOC000000012,12,CP,7.63,0.0,3822.57,29166.21,7.63,CC-4,LOT-012
P000013,Producto Performance 13,ALM-3,GRUPO-5,2026-03-14,SA-DOC000000013,13,CP,0.0,46.098,10517.61,-484840.79,-46.098,CC-1,LOT-013
P000014,Producto Performance 14,ALM-4,GRUPO-6,2026-03-15,EA-DOC000000014,14,CP,34.149,0.0,3784.47,129235.87,34.149,CC-2,LOT-014
P000015,Producto Performance 15,ALM-5,GRUPO-7,2026-03-16,EA-DOC000000015,15,CP,53.446,0.0,5667.72,302916.96,53.446,CC-3,LOT-015
P000016,Producto Performance 16,ALM-1,GRUPO-8,2026-03-17,SA-DOC000000016,16,CP,0.0,4.873,6875.88,-33506.16,-4.873,CC-4,LOT-016
P000017,Producto Performance 17,ALM-2,GRUPO-1,2026-03-18,EA-DOC000000017,17,CP,48.122,0.0,6617.27,318436.27,48.122,CC-1,LOT-017
P000018,Producto Performance 18,ALM-3,GRUPO-2,2026-03-19,EA-DOC000000018,18,CP,15.214,0.0,8824.43,134254.88,15.214,CC-2,LOT-018
P000019,Producto Performance 19,ALM-4,GRUPO-3,2026-03-20,SA-DOC000000019,19,CP,0.0,42.549,11391.63,-484702.46,-42.549,CC-3,LOT-019
P000020,Producto Performance 20,ALM-5,GRUPO-4,2026-03-21,EA-DOC000000020,20,CP,58.436,0.0,8658.5,505968.11,58.436,CC-4,LOT-020
P000021,Producto Performance 21,ALM-1,GRUPO-5,2026-03-22,EA-DOC000000021,21,CP,39.876,0.0,3521.07,140406.19,39.876,CC-1,LOT-001
P000022,Producto Performance 22,ALM-2,GRUPO-6,2026-03-23,SA-DOC000000022,22,CP,0.0,45.778,10471.57,-479367.53,-45.778,CC-2,LOT-002
P000023,Producto Performance 23,ALM-3,GRUPO-7,2026-03-24,EA-DOC000000023,23,CP,15.36,0.0,12864.61,197600.41,15.36,CC-3,LOT-003
P000024,Producto Performance 24,ALM-4,GRUPO-8,2026-03-25,EA-DOC000000024,24,CP,39.953,0.0,11498.92,459416.35,39.953,CC-4,LOT-004
P000025,Producto Performance 25,ALM-5,GRUPO-1,2026-03-26,SA-DOC000000025,25,CP,0.0,52.188,8789.03,-458681.9,-52.188,CC-1,LOT-005
P000026,Producto Performance 26,ALM-1,GRUPO-2,2026-03-27,EA-DOC000000026,26,CP,49.722,0.0,1689.63,84011.78,49.722,CC-2,LOT-006
P000027,Producto Performance 27,ALM-2,GRUPO-3,2026-03-28,EA-DOC000000027,27,CP,43.315,0.0,11701.91,506868.23,43.315,CC-3,LOT-007
P000028,Producto Performance 28,ALM-3,GRUPO-4,2026-03-29,SA-DOC000000028,28,CP,0.0,48.643,2438.29,-118605.74,-48.643,CC-4,LOT-008
P000029,Producto Performance 29,ALM-4,GRUPO-5,2026-03-02,EA-DOC000000029,29,CP,34.876,0.0,14315.8,499277.84,34.876,CC-1,LOT-009
P000030,Producto Performance 30,ALM-5,GRUPO-6,2026-03-03,EA-DOC000000030,30,CP,10.907,0.0,6139.21,66960.36,10.907,CC-2,LOT-010
P000031,Producto Performance 31,ALM-1,GRUPO-7,2026-03-04,SA-DOC000000031,31,CP,0.0,14.605,3145.95,-45946.6,-14.605,CC-3,LOT-011
