item,desc_item,localizacion,categoria,fecha,documento,registro,cp,entradas,salidas,unitario,total,cantidad,cost_center,lote
P000001,Producto Performance 1,ALM-1,GRUPO-1,2026-02-04,SA-DOC020000001,1,CP,0.0,56.264,9891.6,-556540.98,-56.264,CC-1,LOT-001
P000002,Producto Performance 2,ALM-2,GRUPO-2,2026-02-05,EA-DOC020000002,2,CP,14.938,0.0,11020.84,164629.31,14.938,CC-2,LOT-002
P000003,Producto Performance 3,ALM-3,GRUPO-3,2026-02-06,EA-DOC020000003,3,CP,31.584,0.0,6930.95,218907.12,31.584,CC-3,LOT-003
P000004,Producto Performance 4,ALM-4,GRUPO-4,2026-02-07,SA-DOC020000004,4,CP,0.0,49.858,14071.31,-701567.37,-49.858,CC-4,LOT-004
P000005,Producto Performance 5,ALM-5,GRUPO-5,2026-02-08,EA-DOC020000005,5,CP,47.588,0.0,6465.97,307702.58,47.588,CC-1,LOT-005
P000006,Producto Performance 6,ALM-1,GRUPO-6,2026-02-09,EA-DOC020000006,6,CP,40.525,0.0,2144.08,86888.84,40.525,CC-2,LOT-006
P000007,Producto Performance 7,ALM-2,GRUPO-7,2026-02-10,SA-DOC020000007,7,CP,0.0,56.278,5935.26,-334024.56,-56.278,CC-3,LOT-007
P000008,Producto Performance 8,ALM-3,GRUPO-8,2026-02-11,EA-DOC020000008,8,CP,40.575,0.0,4236.6,171900.05,40.575,CC-4,LOT-008
P000009,Producto Performance 9,ALM-4,GRUPO-1,2026-02-12,EA-DOC020000009,9,CP,39.227,0.0,8674.17,340261.67,39.227,CC-1,LOT-009
P000010,Producto Performance 10,ALM-5,GRUPO-2,2026-02-13,SA-DOC020000010,10,CP,0.0,56.171,14077.37,-790739.95,-56.171,CC-2,LOT-010
P000011,Producto Performance 11,ALM-1,GRUPO-3,2026-02-14,EA-DOC020000011,11,CP,52.59,0.0,6624.95,348406.12,52.59,CC-3,LOT-011
P000012,Producto Performance 12,ALM-2,GRUPO-4,2026-02-15,EA-DOC020000012,12,CP,28.883,0.0,5330.98,153974.7,28.883,CC-4,LOT-012
P000013,Producto Performance 13,ALM-3,GRUPO-5,2026-02-16,SA-DOC020000013,13,CP,0.0,41.645,9376.12,-390468.52,-41.645,CC-1,LOT-013
P000014,Producto Performance 14,ALM-4,GRUPO-6,2026-02-17,EA-DOC020000014,14,CP,44.591,0.0,8070.35,359864.98,44.591,CC-2,LOT-014
P000015,Producto Performance 15,ALM-5,GRUPO-7,2026-02-18,EA-DOC020000015,15,CP,54.551,0.0,5277.07,287869.45,54.551,CC-3,LOT-015
P000016,Producto Performance 16,ALM-1,GRUPO-8,2026-02-19,SA-DOC020000016,16,CP,0.0,28.066,6780.7,-190307.13,-28.066,CC-4,LOT-016
P000017,Producto Performance 17,ALM-2,GRUPO-1,2026-02-20,EA-DOC020000017,17,CP,37.055,0.0,4454.39,165057.42,37.055,CC-1,LOT-017
P000018,Producto Performance 18,ALM-3,GRUPO-2,2026-02-21,EA-DOC020000018,18,CP,9.928,0.0,11019.96,109406.16,9.928,CC-2,LOT-018
P000019,Producto Performance 19,ALM-4,GRUPO-3,2026-02-22,SA-DOC020000019,19,CP,0.0,57.824,3931.25,-227320.6,-57.824,CC-3,LOT-019
P000020,Producto Performance 20,ALM-5,GRUPO-4,2026-02-23,EA-DOC020000020,20,CP,41.739,0.0,2608.85,108890.79,41.739,CC-4,LOT-020
P000021,Producto Performance 21,ALM-1,GRUPO-5,2026-02-24,EA-DOC020000021,21,CP,59.457,0.0,13013.19,773725.24,59.457,CC-1,LOT-001
P000022,Producto Performance 22,ALM-2,GRUPO-6,2026-02-25,SA-DOC020000022,22,CP,0.0,21.491,1832.97,-39392.36,-21.491,CC-2,LOT-002
P000023,Producto Performance 23,ALM-3,GRUPO-7,2026-02-26,EA-DOC020000023,23,CP,48.092,0.0,10141.5,487725.02,48.092,CC-3,LOT-003
P000024,Producto Performance 24,ALM-4,GRUPO-8,2026-02-27,EA-DOC020000024,24,CP,21.396,0.0,5997.46,128321.65,21.396,CC-4,LOT-004
P000025,Producto Performance 25,ALM-5,GRUPO-1,2026-02-28,SA-DOC020000025,25,CP,0.0,50.822,8226.78,-418101.41,-50.822,CC-1,LOT-005
P000026,Producto Performance 26,ALM-1,GRUPO-2,2026-03-01,EA-DOC020000026,26,CP,37.003,0.0,6619.22,244931.0,37.003,CC-2,LOT-006
P000027,Producto Performance 27,ALM-2,GRUPO-3,2026-03-02,EA-DOC020000027,27,CP,35.831,0.0,13033.34,466997.61,35.831,CC-3,LOT-007
P000028,Producto Performance 28,ALM-3,GRUPO-4,2026-03-03,SA-DOC020000028,28,CP,0.0,4.703,7894.54,-37128.02,-4.703,CC-4,LOT-008
P000029,Producto Performance 29,ALM-4,GRUPO-5,2026-02-04,EA-DOC020000029,29,CP,56.055,0.0,5525.21,309715.65,56.055,CC-1,LOT-009
P000030,Producto Performance 30,ALM-5,GRUPO-6,2026-02-05,EA-DOC020000030,30,CP,24.643,0.0,10532.74,259558.31,24.643,CC-2,LOT-010
P000031,Producto Performance 31,ALM-1,GRUPO-7,2026-02-06,SA-DOC020000031,31,CP,0.0,41.568,7509.6,-312159.05,-41.568,CC-3,LOT-011
P000032,Producto Performance 32,ALM-2,GRUPO-8,2026-02-07,EA-DOC020000032,32,CP,7.749,0.0,13292.68,103004.98,7.749,CC-4,LOT-012
P000033,Producto Performance 33,ALM-3,GRUPO-1,2026-02-08,EA-DOC020000033,33,CP,21.687,0.0,2502.44,54270.42,21.687,CC-1,LOT-013
P000034,Producto Performance 34,ALM-4,GRUPO-2,2026-02-09,SA-DOC020000034,34,CP,0.0,27.435,1961.85,-53823.35,-27.435,CC-2,LOT-014
P000035,Producto Performance 35,ALM-5,GRUPO-3,2026-02-10,EA-DOC020000035,35,CP,51.855,0.0,1520.83,78862.64,51.855,CC-3,LOT-015
P000036,Producto Performance 36,ALM-1,GRUPO-4,2026-02-11,EA-DOC020000036,36,CP,1.628,0.0,6903.14,11238.31,1.628,CC-4,LOT-016
P000037,Producto Performance 37,ALM-2,GRUPO-5,2026-02-12,SA-DOC020000037,37,CP,0.0,28.675,1865.44,-53491.49,-28.675,CC-1,LOT-017
P000038,Producto Performance 38,ALM-3,GRUPO-6,2026-02-13,EA-DOC020000038,38,CP,51.236,0.0,9266.34,474770.2,51.236,CC-2,LOT-018
P000039,Producto Performance 39,ALM-4,GRUPO-7,2026-02-14,EA-DOC020000039,39,CP,19.609,0.0,1866.01,36590.59,19.609,CC-3,LOT-019
P000040,Producto Performance 40,ALM-5,GRUPO-8,2026-02-15,SA-DOC020000040,40,CP,0.0,5.094,3050.87,-15541.13,-5.094,CC-4,LOT-020
P000041,Producto Performance 41,ALM-1,GRUPO-1,2026-02-16,EA-DOC020000041,41,CP,37.037,0.0,9966.0,369110.74,37.037,CC-1,LOT-001
P000042,Producto Performance 42,ALM-2,GRUPO-2,2026-02-17,EA-DOC020000042,42,CP,16.929,0.0,9127.13,154513.18,16.929,CC-2,LOT-002
P000043,Producto Performance 43,ALM-3,GRUPO-3,2026-02-18,SA-DOC020000043,43,CP,0.0,6.756,2155.15,-14560.19,-6.756,CC-3,LOT-003
